name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
Türk Kassabi Bereket,Turkish Restaurant,المملكة العربية السعودية,24.532776000000002,46.707245,Moderate,0.0,0,0,,
Sandes,Diner,المملكة العربية السعودية,24.534340766320128,46.71483270032319,Cheap,0.0,0,0,,
Boofiya - Bangladesh India And Pakistani Foods,Indian Restaurant,المملكة العربية السعودية,24.533024279973503,46.72296502482954,Moderate,1.0,0,1,,
بوفية المصارير,Breakfast Spot,"الرياض 14532, المملكة العربية السعودية",24.533580999999998,46.774072,Cheap,1.0,0,0,,
Seven Elven 7/11 Coffee & Sweet,"Food Truck, Coffee Shop","الرياض 13514, المملكة العربية السعودية",24.535162833364144,46.61486555288729,Cheap,8.0,8,0,7.8,8.0
مطعم نكهة فرن,Restaurant,"الرياض 14966, المملكة العربية السعودية",24.536514999999998,46.636312,Moderate,2.0,1,0,,
Barbecue Corner (ركن المشوي),Burger Joint,"Al Hazm, الرياض, المملكة العربية السعودية",24.535381317138672,46.63647842407226,Cheap,2.0,3,0,,
نكهه الريف,Diner,المملكة العربية السعودية,24.53525,46.636516,Cheap,1.0,1,0,,
Burger Tower (برجر تاور),Burger Joint,المملكة العربية السعودية,24.53907669458394,46.64020738649477,Cheap,23.0,9,3,7.0,35.0
دواجن الحزم,Wings Joint,"الرياض 14966, المملكة العربية السعودية",24.539299,46.64018,Cheap,0.0,0,0,,
القهوة الكايفة,Coffee Shop,المملكة العربية السعودية,24.534809,46.638852,Cheap,2.0,3,1,,
بلاتي برجر,"Burger Joint, Fast Food Restaurant, American Restaurant","الرياض 14966, المملكة العربية السعودية",24.538638,46.641925,Cheap,1.0,2,0,,
موز ولوز,Coffee Shop,"الرياض 14966, المملكة العربية السعودية",24.536132000000002,46.647335999999996,Cheap,4.0,10,1,,
ترك قهوة مختصة,Café,"الرياض 14964, المملكة العربية السعودية",24.537366,46.645095,Cheap,0.0,1,0,,
كنتاكي | kfc,Fried Chicken Joint,المملكة العربية السعودية,24.537130767685,46.64757342069615,Cheap,0.0,2,0,,
TSC Signature,Fast Food Restaurant,المملكة العربية السعودية,24.532961827657505,46.647794938597535,Cheap,1.0,3,0,,
#عربة_قهوة_مختصة,Coffee Shop,"الرياض 14964, المملكة العربية السعودية",24.53737000000001,46.645031,Cheap,0.0,8,0,,
Post Coffee,"Coffee Shop, Café","Alhazm, الرياض 14964, المملكة العربية السعودية",24.539235,46.651728999999996,Cheap,1.0,22,2,,
برجر جي,Burger Joint,المملكة العربية السعودية,24.538326807415427,46.65271571733928,Cheap,12.0,1,4,7.6,13.0
Lions Food,Food Court,"Hazm, الرياض 14964, المملكة العربية السعودية",24.539054,46.652592999999996,,0.0,4,0,,
KFC,"Fast Food Restaurant, Fried Chicken Joint",المملكة العربية السعودية,24.535850142207252,46.653271927821294,Cheap,3.0,1,0,6.6,3.0
جمعية البر بالشفا استقبال فائض الولائم,Food Truck,"الحزم (طريق ديراب), الرياض, المملكة العربية السعودية",24.53949108473756,46.65172586655322,Cheap,2.0,1,1,,
مطعم كبسة امي,Diner,المملكة العربية السعودية,24.539287726918026,46.65154121006035,Cheap,3.0,5,1,4.9,14.0
مجرد مكرونة,Italian Restaurant,المملكة العربية السعودية,24.539176,46.652731,Moderate,1.0,0,0,,
10 Sport Cafe,Coffee Shop,"Al Hazam, الرياض 14964, المملكة العربية السعودية",24.539307,46.649532,Cheap,0.0,3,0,,
أكل اسود,Dutch Restaurant,"الرياض 14964, المملكة العربية السعودية",24.539139000000002,46.652601000000004,,2.0,4,0,,
واحة الشطيرة,Burger Joint,"الرياض 14964, المملكة العربية السعودية",24.538992,46.652582,Cheap,0.0,0,0,,
Starbucks (ستاربكس),Coffee Shop,"تقاطع شارع الصحراء مع طريق ديراب (Dirab Road), الرياض 14722, المملكة العربية السعودية",24.53730220066813,46.65940300256909,Cheap,162.0,1171,37,8.9,187.0
McDonald's (ماكدونالدز),Fast Food Restaurant,"حي الحزم (طريق ديراب), الرياض, المملكة العربية السعودية",24.53744947994433,46.65816434021157,Cheap,80.0,42,1,8.1,109.0
Juice Time (وقت العصير),"Juice Bar, Ice Cream Shop","الرياض, المملكة العربية السعودية",24.538300543617325,46.6593210147631,Cheap,23.0,63,7,8.3,28.0
Hamburgini (هامبرغيني),Burger Joint,"Dirab road | طريق ديراب (Hamza bin abdulmutaleeb), الرياض 14964, المملكة العربية السعودية",24.538437224231963,46.659064292907715,Cheap,125.0,53,22,8.5,151.0
Subway (صب واي),Sandwich Place,"طريق ديراب, الرياض, المملكة العربية السعودية",24.537504587522047,46.65807559385014,Cheap,12.0,12,1,6.7,19.0
Shawarmer (شاورمر),Shawarma Place,"Dirab Branch Rd, Al Hazm, الرياض, المملكة العربية السعودية",24.5376110026199,46.658282996494144,,13.0,17,3,6.8,19.0
Maestro Pizza (مايسترو بيتزا),Pizza Place,المملكة العربية السعودية,24.537524925530075,46.65820634395441,Cheap,5.0,4,0,,
Noodles Factory (نودلز فاكتوري),Noodle House,"طريق ديراب, الرياض, المملكة العربية السعودية",24.53745710439075,46.658166099535634,Cheap,20.0,8,12,6.8,31.0
12 Burger,Burger Joint,"الرياض 14964, المملكة العربية السعودية",24.538210999999997,46.658799,Cheap,0.0,10,0,,
الشورما العربي,Turkish Restaurant,"حي الحزم (طريق ديراب), الرياض 14964, المملكة العربية السعودية",24.538257,46.658802,Moderate,0.0,0,1,,
مطعم مذاق الكشري,Egyptian Restaurant,"حي الحزم (طريق ديراب), الرياض 14964, المملكة العربية السعودية",24.538439,46.658803000000006,,3.0,4,1,,
Burger 12 برجر ١٢,Fast Food Restaurant,"الرياض 14964, المملكة العربية السعودية",24.53799200000001,46.658713,Cheap,1.0,1,0,,
Shawrma Mahboob (شاورما محبوب),Doner Restaurant,"Dirab Rd., الرياض 14964, المملكة العربية السعودية",24.538414000000003,46.659045,,0.0,0,0,,
اوز بيك,Fried Chicken Joint,"الشفا طريق ديراب, الرياض, المملكة العربية السعودية",24.538084,46.658805,Cheap,2.0,2,1,,
باجة,Snack Place,"حي المروة (طريق ديراب), الرياض 14964, المملكة العربية السعودية",24.53781,46.658566,Cheap,0.0,1,0,,
هابرجريني,American Restaurant,"طريق ديراب, الرياض, المملكة العربية السعودية",24.538223000000002,46.658798,Moderate,1.0,3,0,,
Noodles Factory,Noodle House,"Alhazm (Amam mouslm - dirab), الرياض, المملكة العربية السعودية",24.537791,46.657934999999995,Cheap,1.0,6,1,,
بيت الكتاكيت Bait Alkatakit (بيت الكتاكيت),Fried Chicken Joint,المملكة العربية السعودية,24.538226,46.658952,Cheap,3.0,4,0,,
Shawarma House (بيت الشاورما),Shawarma Place,"جنوب شارع المشتل (بجانب هرفي), الرياض 14964, المملكة العربية السعودية",24.53910538247729,46.65966150302991,,88.0,176,11,8.5,106.0
Herfy 326 jazzed,Burger Joint,"طريق ديراب, الرياض, المملكة العربية السعودية",24.53856085890389,46.659330451002475,Cheap,6.0,1,1,5.9,14.0
Pizza Hut,Pizza Place,"حي الحزم (طريق ديراب), الرياض, المملكة العربية السعودية",24.538746,46.659228999999996,Cheap,0.0,1,0,6.6,0.0
Burger King (برجر كنج),Fast Food Restaurant,"حي المروة (طريق ديراب), الرياض, المملكة العربية السعودية",24.537399,46.659862,Cheap,7.0,10,0,5.6,15.0
Burger King - Dirab,Burger Joint,"Dirab Branch Rd, Opposite Al Dawaa Pharmacy, Al Marwah, الرياض 14722, المملكة العربية السعودية",24.537538,46.659791,Cheap,0.0,0,0,,
لمحة القهوة,Coffee Shop,"الشفا (الأمام مسلم), الرياض, المملكة العربية السعودية",24.536793,46.6924,Cheap,1.0,4,0,,
Shifudo شيفودو,Seafood Restaurant,"Shifa district - Imam Muslim Road - After Orouba Center and before Banda, الرياض, المملكة العربية السعودية",24.536275215398256,46.692242337101405,Expensive,12.0,44,7,6.5,20.0
قهوة شخصين 2GUYS,Café,"Alshifa (Imam Muslim), الرياض, المملكة العربية السعودية",24.539014190106077,46.688574106270686,Cheap,5.0,32,2,6.2,10.0
شمس و قهوة,Coffee Shop,"طريق الامام مسلم, الرياض 14724, المملكة العربية السعودية",24.538355,46.690509999999996,Cheap,1.0,8,0,,
Cafeteria (بوفية),Breakfast Spot,"حي بدر (ش - الامام مسلم), الرياض, المملكة العربية السعودية",24.538695999999998,46.689591,Cheap,2.0,1,0,,
اسكندر افندي,Turkish Restaurant,"حي بدر (طريق ابن تيمية), الرياض, المملكة العربية السعودية",24.53971819012399,46.689448332189464,Moderate,0.0,2,0,,
قهوة شبات,Café,"حي بدر (ط ابن تيمية), الرياض, المملكة العربية السعودية",24.53988663079707,46.68925493196869,Cheap,1.0,7,1,,
لقيمات حصة,Restaurant,"2153 Ibn Taymeeyah Rd, الرياض 14724, المملكة العربية السعودية",24.540343,46.690068,Moderate,1.0,1,1,,
Texas Chicken,Fast Food Restaurant,"Shifa (Imam Muslim Road), الرياض 14724, المملكة العربية السعودية",24.536518,46.69618,Cheap,2.0,0,0,,
Coffee Gram (جرام القهوة),Coffee Shop,"Al Khalifah Al Mamoon St, الرياض 14724, المملكة العربية السعودية",24.537890769413718,46.70082088882203,Cheap,88.0,532,36,8.9,107.0
Fun Taste,Restaurant,"الرياض 14724, المملكة العربية السعودية",24.538718,46.698941,Moderate,0.0,3,2,,
مقهى فنجال وقدوع للقهوة العربية,Café,"حي الشفا شارع الخليل بن أحمد (المعارض), الرياض, المملكة العربية السعودية",24.540115905199624,46.69880390167236,Cheap,3.0,6,2,,
مخبز وبوفية فوال  الشرق الاوسط,Breakfast Spot,"حي بدر (شارع الخليفة المأمون), المملكة العربية السعودية",24.538065,46.701056,Cheap,0.0,4,0,,
شاورما جي,Fast Food Restaurant,"الرياض 14724, المملكة العربية السعودية",24.539337,46.702095,Cheap,0.0,0,0,,
BAHRYA (بحرية),Seafood Restaurant,المملكة العربية السعودية,24.53855330720563,46.70049225317555,Expensive,0.0,1,0,,
مطعم ميرا البخاري,Afghan Restaurant,"بدر (شارع الخليفة المأمون), المملكة العربية السعودية",24.538321569173608,46.70133208715864,Moderate,2.0,2,0,,
كفي في التسعين,Coffee Shop,المملكة العربية السعودية,24.54027105037921,46.698543703883935,Cheap,0.0,4,0,,
اطلق بوفيه بالرياض,Buffet,"الرياض 14724, المملكة العربية السعودية",24.540267999999998,46.705631,,0.0,0,0,,
antakya kasabi,Turkish Restaurant,"Sifa, المملكة العربية السعودية",24.538467,46.70763,Moderate,2.0,1,1,,
الحميس التركي,Doner Restaurant,"حي بدر (شارع الرسالة), الرياض 14724, المملكة العربية السعودية",24.538874,46.707584000000004,,1.0,3,1,,
Karyet Al Romansiah,Turkish Restaurant,"Shifa (Al bedir), الرياض, المملكة العربية السعودية",24.537682999999998,46.709635999999996,Moderate,0.0,0,0,,
مطعم ركن الأوصال,Turkish Restaurant,"الشفا, الرياض, المملكة العربية السعودية",24.539325,46.712869,Moderate,3.0,0,0,,
Domino's Pizza (دومينوز بيتزا),Pizza Place,المملكة العربية السعودية,24.536037279056142,46.71251076984575,Cheap,3.0,1,0,6.6,6.0
sandeyss,Turkish Restaurant,المملكة العربية السعودية,24.539444942814182,46.71268066354802,Moderate,3.0,2,1,,
sandeys restorant,BBQ Joint,المملكة العربية السعودية,24.53925325000105,46.71286451282688,Moderate,1.0,1,0,,
شركة العردان ( بوفية ),Indian Restaurant,"الشفا, الرياض 14724, المملكة العربية السعودية",24.53899,46.712391,Moderate,0.0,0,0,,
صانع الحلويات,Café,المملكة العربية السعودية,24.54049,46.713722,Cheap,1.0,0,0,,
الشفا للوجبات السريعة,Chaat Place,"الشفا (طريق عرفات), الرياض, المملكة العربية السعودية",24.541142999999998,46.714524,,0.0,0,0,,
riyadh sifa kiral kunefe,Cafeteria,المملكة العربية السعودية,24.540805692631306,46.71336024411989,,1.0,2,0,,
فلافل قرمشة,Falafel Restaurant,"Al Itidal, المملكة العربية السعودية",24.54025747442121,46.7250263770906,Cheap,5.0,1,0,6.8,9.0
مطعم أرزاق بلادي البخاري,Afghan Restaurant,"الرياض, المملكة العربية السعودية",24.539982000000002,46.72065900000001,Moderate,1.0,0,0,,
Moroccan Tea (شاي مغربي),Tea Room,"الرياض 14741, المملكة العربية السعودية",24.536617,46.772172,Moderate,2.0,1,0,,
Shawarmer (شاورمر),Shawarma Place,المملكة العربية السعودية,24.535832,46.910331,,2.0,0,0,7.0,2.0
مقهى الديوانية الخليجية,Arepa Restaurant,المملكة العربية السعودية,24.54395098792429,46.64752944624711,Cheap,17.0,4,2,6.7,27.0
بلح وعسل,Pastry Shop,"شارع المشتل, الرياض 14964, المملكة العربية السعودية",24.541507,46.648346000000004,,5.0,3,0,,
ام فهد للطبخ الشعبي,Middle Eastern Restaurant,"الحزم, المملكة العربية السعودية",24.54477,46.644785,Moderate,1.0,0,0,,
فور برجر,Burger Joint,المملكة العربية السعودية,24.543743936338664,46.64757813383275,Cheap,0.0,0,0,,
مزاج الزنجبيل,Café,المملكة العربية السعودية,24.542598,46.648183,Cheap,8.0,0,0,7.3,9.0
واحة القهوة السوداء Oasis Of Black Coffee,"Café, Coffee Shop, Market","الرياض 14964, المملكة العربية السعودية",24.544871,46.647803,Cheap,5.0,39,1,,
قديمك نديمك,Café,"شارع حمزة بن عبدالمطلب, المملكة العربية السعودية",24.546329949493185,46.647979968457356,Cheap,27.0,29,5,7.7,35.0
كوفي تايم,Café,المملكة العربية السعودية,24.546376000000002,46.647976,Cheap,0.0,1,0,,
Planck cafe بلانك كافيه,Café,المملكة العربية السعودية,24.544197,46.647855,Cheap,1.0,25,0,,
فطيرة الفلافل Falafel Pie | حي الحزم,Falafel Restaurant,"حي الحزم (شارع المشتل), الرياض 77779, المملكة العربية السعودية",24.545192999999998,46.652774,Cheap,7.0,1,1,6.5,13.0
Shawerma Emperor (إمبراطور الشاورما),Shawarma Place,"Almeshtal St., الرياض, المملكة العربية السعودية",24.545473416497273,46.65224030940654,,47.0,21,9,6.8,71.0
بروكولي,Italian Restaurant,"الرياض 14964, المملكة العربية السعودية",24.544229259459748,46.65458830300681,Moderate,8.0,5,0,6.2,16.0
Devour ديفور,Café,"Al Hazm (Al Mashtal), الرياض 14964, المملكة العربية السعودية",24.544,46.654615,Cheap,6.0,23,2,,
Dominos Pizza (دومينوز بيتزا),Pizza Place,"الرياض - حي الحزم (شارع المشتل), المملكة العربية السعودية",24.54525668820887,46.65326892189474,Cheap,24.0,6,2,8.6,27.0
البيتزا الساخنة,Pizza Place,"شارع المشتل, الرياض 14964, المملكة العربية السعودية",24.545656,46.651496,Cheap,0.0,3,0,,
بيت الشواية,Kurdish Restaurant,"الرياض 14964, المملكة العربية السعودية",24.543613,46.655136,,4.0,1,0,,
مطعم بخاري,Afghan Restaurant,"الحزم (شارع المشتل), الرياض, المملكة العربية السعودية",24.5446255857214,46.65366316433,Moderate,0.0,3,0,,
Dankin Donut's,Café,"شارع المشتل, المملكة العربية السعودية",24.542198983195828,46.65827397617082,Cheap,14.0,9,0,8.6,14.0
Mustache Burger,Burger Joint,"الرياض 14964, المملكة العربية السعودية",24.545034,46.653356,Cheap,8.0,4,5,7.7,9.0
كبدة فوزية البقمي,Breakfast Spot,"الرياض 14964, المملكة العربية السعودية",24.546008,46.651533,Cheap,1.0,0,0,,
Juice & Snack (خفيف وعصير),"Snack Place, Juice Bar","Almatri St, الرياض 14964, المملكة العربية السعودية",24.543685,46.653641,Cheap,4.0,11,1,,
ايس كريم ابو سارة ولد الحارة,Ice Cream Shop,"الرياض 14964, المملكة العربية السعودية",24.542605,46.658032,Cheap,0.0,1,0,,
Juice Day,Juice Bar,"الرياض 14964, المملكة العربية السعودية",24.545317,46.65224600000001,Cheap,0.0,0,0,,
grilld burger (برجر مشوي),Burger Joint,المملكة العربية السعودية,24.546344757080078,46.651283264160156,Cheap,2.0,3,1,,
Patisserie Jareer (حلويات القباني جرير),Pastry Shop,"شارع المشتل, الرياض 14964, المملكة العربية السعودية",24.543701000000002,46.655120000000004,,6.0,3,0,6.2,11.0
Domino's Pizza (دومينوز بيتزا),Pizza Place,"4022 Al Mashtal St, Al Hazm, الرياض 14964, المملكة العربية السعودية",24.545261,46.653375,Cheap,0.0,0,0,,
كشري كنانة,Middle Eastern Restaurant,"الرياض 14964, المملكة العربية السعودية",24.545605,46.651835999999996,Moderate,0.0,0,0,,
بوفية سندويشات,Breakfast Spot,"حي الحزم (ش المشتل), الرياض, المملكة العربية السعودية",24.54347184564641,46.65631234037952,Cheap,4.0,0,0,,
مطاعم هبري,Lebanese Restaurant,"شارع المشتل, الرياض 14964, المملكة العربية السعودية",24.545771,46.651423,,0.0,0,0,,
مطعم نكهة الدجاج,Pizza Place,"الحزم - شارع المشتل, الرياض, المملكة العربية السعودية",24.545382999999998,46.652224,Cheap,0.0,2,0,,
Java Time (جافا تايم),Café,"Asheffa District (Dirab Road), الرياض, المملكة العربية السعودية",24.54620683267403,46.66684351078408,Cheap,193.0,164,32,8.8,224.0
Burgerizzer (برغرايززر),Burger Joint,"الرياض, المملكة العربية السعودية",24.546041147350827,46.66527438515885,Cheap,15.0,11,1,8.5,16.0
حلويات المملكة,Dessert Shop,"طريق ديراب ، حمزة بن عبدالمطلب, المملكة العربية السعودية",24.54509440272534,46.66481705085595,Cheap,4.0,4,0,,
مطاعم البيت الرومانسي,Middle Eastern Restaurant,"الرياض 14964, المملكة العربية السعودية",24.545545,46.664912,Moderate,2.0,2,1,,
مخبز تميس,Bakery,"الرياض 14964, المملكة العربية السعودية",24.544658,46.664219,Cheap,0.0,0,0,,
Star Juices (عصائر ستار),Juice Bar,"طريق ديراب, الرياض, المملكة العربية السعودية",24.543863,46.664831,Cheap,2.0,5,1,,
